RAW_COUNTRY_NM,CANONICAL_COUNTRY_NM
"USA","United States of America"
"PR China","China"
"South Korea","Korea, Republic of"
"Vietnam","Viet Nam"
"Russia","Russian Federation"
"Tamil Nadu,?India","India"
"Balearic Islands,?Spain","Spain"
"Canary Islands,?Spain","Spain"
"Andhra Pradesh,?India","India"
"Uttar Pradesh,?India","India"
"Himachal Pradesh,?India","India"
"Punjab,?India","India"
"Bavaria,?Germany","Germany"
"North Rhine-Westphalia,?Germany","Germany"
"Rhineland-Palatinate,?Germany","Germany"
"Schleswig-Holstein,?Germany","Germany"
"Shaanxi,?China","China"
"Shanxi ,?China","China"
"Sichuan,?China","China"
"Inner Mongolia,?China","China"
"Xinjiang,?China","China"
"Zhejiang,?PR China","China"
"Lombok,?Indonesia","Indonesia"
"West Papua,?Indonesia","Indonesia"
"West Sumatra,?Indonesia","Indonesia"
"Negros Occidental,?Philippines","Philippines"
"England,?United Kingdom","United Kingdom"
"Scotland,?United Kingdom","United Kingdom"
"Tanzania","Tanzania, United Republic of"
"Iran","Iran, Islamic Republic of"
"Brunei Darussalam","Brunei"
"Cote d'Ivoire","Côte D'Ivoire"
"Syria","Syrian Arab Republic"
"Lao PDR","Laos"
"Venezuela","Venezuela, Bolivarian Republic of"
"Congo (DRC)","Congo, The Democratic Republic of The"
"Libya","Libyan Arab Jamahiriya"
"Taiwan","Taiwan, Province of China"
"Hong Kong,?PR China","Hong Kong"
"Palestinian Territory","Palestinian Territories"
"Congo (ROC)","Congo"
"British Virgin Islands","Virgin Islands, British"
"U.S. Virgin Islands","Virgin Islands, U.S."
"Micronesia","Micronesia, Federated States of"
"Moldova","Moldova, Republic of"
"Turks and Caicos","Turks and Caicos Islands"
"East Timor?(Timor-Leste)","Timor Leste"
"St. Kitts And Nevis","Saint Kitts and Nevis"
"Saint Vincent and the Grenadines","Saint Vincent and The Grenadines"
"St. Vincent and the Grenadines","Saint Vincent and The Grenadines"
"Channel Island (UK)","United Kingdom"
"Korea, DPR","Korea, Democratic People's Republic of"
"Kurdistan,?Iraq","Iraq"
"US Minor Outlying Islands","United States Minor Outlying Islands"
"US Minor Outlying Is","United States Minor Outlying Islands"
"USAAK","United States of America"
"St. Pierre and Miquelon","Saint Pierre and Miquelon"
"Falkland Islands","Falkland Islands"
